id,timestamp,region,category,subcategory,feature_1,feature_2,feature_3,feature_4,amount,is_high,label
1,2023-03-07,North,A,S1,22.612193512502717,13.24168130000689,6,4.406573552194261,73.43034164099315,0,A_S1
2,2024-07-18,North,B,S3,40.561771285337684,23.512080966023376,6,10.209781189752384,70.31089544770167,0,B_S3
3,2024-04-22,East,C,S1,35.15967417331815,19.49628340008478,10,10.821430572952389,74.60940027048683,0,C_S1
4,2023-11-17,East,A,S3,51.7705825048561,36.27087848481182,2,51.36524635164945,65.68454931286705,0,A_S3
5,2023-11-13,West,A,S3,38.184976963644026,24.028346836397787,6,0.40996330494427025,68.54844172822538,0,A_S3
6,2024-09-18,West,B,S1,42.806135224272396,19.856298753947517,0,1.4353154478378594,42.542666731667516,0,B_S1
7,2023-03-04,South,C,S2,43.2169191041351,19.715334589678246,3,8.629156792764382,54.04779729663764,0,C_S2
8,2024-05-24,West,B,S1,49.277522265644414,32.01374520963999,6,83.3387159310402,89.0583479931396,1,B_S1
9,2023-05-28,East,B,S3,42.072166153927384,28.67250941782263,2,39.494812679730884,59.31745879849448,0,B_S3
10,2023-03-10,South,B,S2,34.073208650943016,17.938864036031536,6,1.1565330603395028,69.40648059757379,0,B_S2
11,2024-01-20,West,A,S2,51.286496659217576,21.71585301356059,8,2.9385100261037813,83.10233266481448,0,A_S2
12,2024-12-13,North,B,S1,66.01224824396917,49.61506988306256,7,1.104539433591788,95.40902459886283,1,B_S1
13,2024-06-21,East,A,S2,51.926992936861616,39.465032638333774,7,1.5987880314427891,78.31848522621554,0,A_S2
14,2024-07-09,West,B,S2,40.85269342642067,8.61260404806442,4,11.109870894694872,53.61312334293344,0,B_S2
15,2024-06-07,East,A,S1,48.15280392359563,39.60834574066561,5,1.5403993855148164,81.12211063523152,0,A_S1
16,2024-07-27,West,A,S4,19.24050844465192,9.87249868812704,10,3.2134452566907794,58.87920250224742,0,A_S4
17,2024-01-10,North,B,S2,47.90895875691703,30.26527189436736,5,13.627217477066607,67.94066307869957,0,B_S2
18,2023-04-04,East,B,S1,43.994684463642905,35.50259515860676,7,3.675044859041043,60.36445014562352,0,B_S1
19,2024-09-05,West,B,S3,35.99809462990232,34.81916707097382,10,1.4976340149354292,62.08302591183384,0,B_S3
20,2023-11-25,East,B,S2,38.71852471502048,31.254037109376526,4,15.769656847669854,56.47884416092203,0,B_S2
21,2024-01-01,West,C,S2,43.8464824769053,28.23613347774765,4,11.15474820753871,56.1467838450486,0,C_S2
22,2023-09-28,South,C,S3,64.88687414009736,27.926998993634427,3,5.794340869856477,49.978706453384106,0,C_S3
23,2023-05-14,East,C,S1,66.38090625170139,23.618689159142924,4,3.803277499552065,70.10532268753335,0,C_S1
24,2024-11-07,South,B,S3,36.078122576632836,28.67214505817573,3,4.1234304727777324,24.66682059776236,0,B_S3
25,2024-07-24,West,B,S1,42.2288394013491,36.073546406765274,3,22.290760256498068,65.79082112676953,0,B_S1
26,2024-04-15,North,B,S1,42.611150640671326,19.04953149769841,6,2.722922746925133,77.82016961810902,0,B_S1
27,2023-10-21,South,B,S1,62.14318273325186,35.12766992204128,5,11.238132300651449,49.6366868817997,0,B_S1
28,2024-08-23,North,A,S1,52.18259828947425,26.85143186660091,3,13.975899737343852,89.1947587987679,1,A_S1
29,2024-02-03,East,B,S2,51.39184793961562,26.163908175857344,6,5.7780770290835495,65.20721437599808,0,B_S2
30,2023-11-20,North,A,S4,58.04393920131784,43.426052991926426,4,5.457808943424215,83.34268585985187,0,A_S4
31,2023-11-25,South,A,S4,41.05379887383603,26.379264386330757,6,18.071084890971907,63.24529095974473,0,A_S4
32,2023-06-15,West,C,S1,70.45829861531087,40.44155267802116,2,1.6502611931175226,65.40908228404982,0,C_S1
33,2023-03-09,South,A,S4,49.973830138696975,51.24445824730117,1,7.15133455571266,80.79453176876729,0,A_S4
34,2024-02-09,North,B,S3,37.161313307121304,10.821420792212301,11,9.812694112222935,72.66476301826978,0,B_S3
35,2024-10-10,North,B,S3,46.5553963430324,32.31652645778572,6,10.335832584244729,54.093506596753684,0,B_S3
36,2023-02-16,North,A,S4,68.47892486311808,32.695528636493286,4,27.024609782315547,108.23886843779741,1,A_S4
37,2024-09-18,West,C,S2,43.62286796024342,24.91422580019212,2,5.966063728272585,51.68015295593874,0,C_S2
38,2024-08-27,East,A,S2,64.24336698567248,39.73512726710487,3,16.569659965718408,82.76607402085193,0,A_S2
39,2023-07-22,West,C,S3,40.61981310842718,31.128653622137044,4,6.032435020572569,52.699157972909255,0,C_S3
40,2024-04-06,North,C,S3,38.515044548340406,21.019571567716063,4,2.8055295592152962,70.89388221529792,0,C_S3
41,2023-05-01,South,A,S3,59.89396115891438,33.000791912973895,4,7.272542284104597,81.81073618522309,0,A_S3
42,2024-07-07,North,A,S1,36.89041159031389,19.90156617168027,4,2.5165818183149358,69.81820881645108,0,A_S1
43,2024-05-26,South,A,S4,62.33810375242543,28.763240761045857,2,5.111010037099504,67.79987399441453,0,A_S4
44,2023-09-16,East,A,S2,55.27438998535024,38.22311240794364,5,9.09081423316196,54.257242568213954,0,A_S2
45,2023-02-19,West,A,S4,36.896090982986124,24.38832955604694,4,22.046757429349334,84.602180078766,0,A_S4
46,2024-12-09,South,C,S2,48.92835884008499,32.838364674571395,3,1.5532134141714902,55.933685185612006,0,C_S2
47,2023-11-22,West,A,S1,41.76838564160694,24.504687364699517,5,15.328674857750018,68.62467662185202,0,A_S1
48,2024-10-13,East,C,S4,55.2346483500359,31.59776533090079,7,12.346676293474887,60.341785847929934,0,C_S4
49,2024-05-09,South,A,S3,78.3169736743313,56.39498691044559,6,0.49193899284050013,98.25128760467697,1,A_S3
50,2024-07-22,West,C,S1,44.43943095668867,34.837950335269326,4,10.177857061894112,72.27444117172195,0,C_S1
51,2024-07-08,South,A,S1,58.006644107877605,46.122391154201665,2,21.732661308844964,78.83220804210461,0,A_S1
52,2023-05-23,North,B,S1,50.36660962501274,33.20072058697461,6,23.84168390258647,99.85024197325166,1,B_S1
53,2023-09-23,West,B,S1,50.3608655459477,41.037832084811974,9,18.493052642781954,75.41617214248157,0,B_S1
54,2023-12-07,West,A,S4,47.52192318902714,25.18449279565297,6,3.6342535411013035,62.64631219660003,0,A_S4
55,2023-12-30,North,C,S1,37.13873830472669,20.67642869370536,3,1.1089527603127018,60.31212334556383,0,C_S1
56,2023-02-01,West,A,S1,55.027099239236826,42.57706557299778,9,6.087920073685255,107.19364535839482,1,A_S1
57,2024-02-03,West,B,S4,45.66887375120917,34.14869655680741,4,12.233147604622129,68.80886390052899,0,B_S4
58,2023-04-23,West,B,S4,36.42799874391911,19.533195991032294,5,0.28113142717895545,66.60562442397469,0,B_S4
59,2024-06-26,South,B,S1,65.21259893372448,30.757493472076998,4,7.091830243829611,79.34890326488176,0,B_S1
60,2024-05-13,East,A,S3,51.48514434053514,29.259372948381305,6,0.052293181170671485,64.19012238277071,0,A_S3
61,2024-11-04,East,A,S3,46.57851563985141,22.468161853694568,4,4.103059226798111,65.22520076521315,0,A_S3
62,2024-06-27,East,A,S3,70.10084922119447,55.85653739262608,2,19.574207184749145,100.11991479740628,1,A_S3
63,2023-09-25,East,A,S2,22.458776967005033,19.555591328361025,4,4.815481588340649,41.97092407635948,0,A_S2
64,2024-12-07,East,A,S4,69.09231205593633,35.328006614467675,4,5.530291600266598,88.7191662116576,1,A_S4
65,2023-10-27,East,C,S4,36.79718076295674,13.718380772453946,5,12.765932692074246,48.01404474832778,0,C_S4
66,2023-08-26,East,B,S3,53.172988091232796,25.67728666446323,5,0.13738915656980716,41.63120862603783,0,B_S3
67,2024-10-23,East,B,S4,41.17904368818933,20.236824305182928,6,7.095511102439703,57.18131909924637,0,B_S4
68,2023-09-28,North,A,S1,36.15498439321364,20.359387485550627,6,5.177798962127196,61.157220169848394,0,A_S1
69,2023-02-25,North,A,S3,69.70829788952652,50.741350660763004,7,0.12427331608884651,103.71755350594765,1,A_S3
70,2023-12-09,West,B,S4,77.84324851092927,38.973813975733535,3,8.882678967148674,77.82443427744545,0,B_S4
71,2024-08-03,West,A,S3,46.681615240233825,46.32526710291269,4,8.240743064986027,60.86197481347509,0,A_S3
72,2023-05-19,East,A,S4,55.032120532914426,25.472870425119414,5,16.788905038591217,91.50987392433399,1,A_S4
